ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
CC	GO:0036464	cytoplasmic ribonucleoprotein granule	23/823	233/19559	1.3757322171406076e-4	0.04785405369359104	0.04598076333547893	1654/677/27327/2332/26058/10482/113251/79727/255967/85463/64506/9125/200315/54715/149041/23741/23367/26019/84271/4154/23318/284131/55643	23
CC	GO:0010494	cytoplasmic stress granule	11/823	74/19559	2.5379550801018407e-4	0.04785405369359104	0.04598076333547893	1654/2332/26058/10482/113251/79727/54715/149041/23367/4154/284131	11
CC	GO:0035770	ribonucleoprotein granule	23/823	243/19559	2.554486851971052e-4	0.04785405369359104	0.04598076333547893	1654/677/27327/2332/26058/10482/113251/79727/255967/85463/64506/9125/200315/54715/149041/23741/23367/26019/84271/4154/23318/284131/55643	23
