ID_REF	VALUE
AFFX-BkGr19-GC18_st	3.14
AFFX-BkGr19-GC19_st	4.55
AFFX-BkGr19-GC3_st	0.41
AFFX-BkGr19-GC4_st	0.39
AFFX-BkGr19-GC5_st	0.42
AFFX-BkGr19-GC6_st	0.47
AFFX-BkGr19-GC7_st	0.38
AFFX-BkGr19-GC8_st	0.38
AFFX-BkGr19-GC9_st	0.42
AFFX-BkGr21-GC10_st	0.51
AFFX-BkGr21-GC11_st	0.54
AFFX-BkGr21-GC12_st	0.48
AFFX-BkGr21-GC13_st	0.73
AFFX-BkGr21-GC14_st	0.71
AFFX-BkGr21-GC15_st	0.71
AFFX-BkGr21-GC16_st	1.16
AFFX-BkGr21-GC17_st	1.45
AFFX-BkGr21-GC18_st	1.45
AFFX-BkGr21-GC19_st	3.43
AFFX-BkGr21-GC20_st	3.14
AFFX-BkGr21-GC21_st	4.28
AFFX-BkGr21-GC3_st	0.49
AFFX-BkGr21-GC4_st	0.50
AFFX-BkGr21-GC5_st	0.56
AFFX-BkGr21-GC6_st	0.39
AFFX-BkGr21-GC7_st	0.54
AFFX-BkGr21-GC8_st	0.39
AFFX-BkGr21-GC9_st	0.62
AFFX-BkGr23-GC10_st	0.47
AFFX-BkGr23-GC11_st	0.61
AFFX-BkGr23-GC12_st	0.57
AFFX-BkGr23-GC13_st	0.39
AFFX-BkGr23-GC14_st	0.66
AFFX-BkGr23-GC15_st	0.73
AFFX-BkGr23-GC16_st	0.54
AFFX-BkGr23-GC17_st	1.21
AFFX-BkGr23-GC18_st	1.47
AFFX-BkGr23-GC19_st	2.50
AFFX-BkGr23-GC20_st	2.49
AFFX-BkGr23-GC21_st	3.65
AFFX-BkGr23-GC22_st	4.00
AFFX-BkGr23-GC23_st	3.73
AFFX-BkGr23-GC3_st	0.46
AFFX-BkGr23-GC4_st	0.55
AFFX-BkGr23-GC5_st	0.47
AFFX-BkGr23-GC6_st	0.52
AFFX-BkGr23-GC7_st	0.45
AFFX-BkGr23-GC8_st	0.51
